idRegistration, startTime, idValueType, value
10221, 2026-09-03T19:00:00Z, 8, 3.2
40237, 2026-09-03T19:00:00Z, 8, 3.8
40238, 2026-09-03T19:00:00Z, 8, 73.6
40244, 2026-09-03T19:00:00Z, 8, 73.4
40257, 2026-09-03T19:00:00Z, 8, 4.0
40259, 2026-09-03T19:00:00Z, 8, 8.8
40260, 2026-09-03T19:00:00Z, 8, 10.1
40261, 2026-09-03T19:00:00Z, 8, 6.3
40279, 2026-09-03T19:00:00Z, 8, 2.9
40281, 2026-09-03T19:00:00Z, 8, 3.3
40282, 2026-09-03T19:00:00Z, 8, 332.0
40283, 2026-09-03T19:00:00Z, 8, 73.2
40284, 2026-09-03T19:00:00Z, 8, 3.8
40285, 2026-09-03T19:00:00Z, 8, 6.1
40288, 2026-09-03T19:00:00Z, 8, 5.5
40308, 2026-09-03T19:00:00Z, 8, 7.7
40309, 2026-09-03T19:00:00Z, 8, 71.0
40310, 2026-09-03T19:00:00Z, 8, 8.6
40311, 2026-09-03T19:00:00Z, 8, 6.0
40316, 2026-09-03T19:00:00Z, 8, 8.5
40331, 2026-09-03T19:00:00Z, 8, 3.4
40338, 2026-09-03T19:00:00Z, 8, 1.3
40340, 2026-09-03T19:00:00Z, 8, 4.4
40341, 2026-09-03T19:00:00Z, 8, 80.6
40342, 2026-09-03T19:00:00Z, 8, 5.2
40343, 2026-09-03T19:00:00Z, 8, 12.7
40352, 2026-09-03T19:00:00Z, 8, 5.9
40354, 2026-09-03T19:00:00Z, 8, 69.8
40355, 2026-09-03T19:00:00Z, 8, 6.1
40356, 2026-09-03T19:00:00Z, 8, 11.9
40369, 2026-09-03T19:00:00Z, 8, 2.8
40406, 2026-09-03T19:00:00Z, 8, 5.6
40408, 2026-09-03T19:00:00Z, 8, 5.9
40410, 2026-09-03T19:00:00Z, 8, 87.0
40411, 2026-09-03T19:00:00Z, 8, 6.1
40412, 2026-09-03T19:00:00Z, 8, 3.5
40419, 2026-09-03T19:00:00Z, 8, 4.3
40448, 2026-09-03T19:00:00Z, 8, 12.6
40450, 2026-09-03T19:00:00Z, 8, 14.2
40451, 2026-09-03T19:00:00Z, 8, 7.2
40507, 2026-09-03T19:00:00Z, 8, 78.2
40522, 2026-09-03T19:00:00Z, 8, 3.6
40528, 2026-09-03T19:00:00Z, 6, -5003.0
40530, 2026-09-03T19:00:00Z, 6, -5003.0
40532, 2026-09-03T19:00:00Z, 8, 37.7
40533, 2026-09-03T19:00:00Z, 6, -5003.0
40534, 2026-09-03T19:00:00Z, 8, 7.6
40541, 2026-09-03T19:00:00Z, 8, 2.8
40542, 2026-09-03T19:00:00Z, 8, 1.3
40544, 2026-09-03T19:00:00Z, 8, 2.5
40545, 2026-09-03T19:00:00Z, 8, 65.4
40546, 2026-09-03T19:00:00Z, 8, 4.0
40555, 2026-09-03T19:00:00Z, 8, 2.7
40557, 2026-09-03T19:00:00Z, 8, 24.9
40559, 2026-09-03T19:00:00Z, 8, 62.0
40560, 2026-09-03T19:00:00Z, 8, 25.6
40561, 2026-09-03T19:00:00Z, 8, 20.5
40604, 2026-09-03T19:00:00Z, 8, 3.2
40606, 2026-09-03T19:00:00Z, 8, 30.6
40607, 2026-09-03T19:00:00Z, 8, 32.9
40608, 2026-09-03T19:00:00Z, 8, 14.5
40614, 2026-09-03T19:00:00Z, 8, 17.2
40615, 2026-09-03T19:00:00Z, 8, 17.8
40616, 2026-09-03T19:00:00Z, 8, 9.7
40626, 2026-09-03T19:00:00Z, 8, 25.0
40630, 2026-09-03T19:00:00Z, 8, 1.3
40632, 2026-09-03T19:00:00Z, 8, 24.3
40634, 2026-09-03T19:00:00Z, 8, 25.6
40635, 2026-09-03T19:00:00Z, 8, 15.0
40649, 2026-09-03T19:00:00Z, 8, 5.1
40651, 2026-09-03T19:00:00Z, 8, 9.9
40652, 2026-09-03T19:00:00Z, 8, 12.8
40653, 2026-09-03T19:00:00Z, 8, 12.2
40657, 2026-09-03T19:00:00Z, 8, 19.5
40658, 2026-09-03T19:00:00Z, 8, 5.3
